ServiceID,ServiceName,ReadinessLevel,EvidenceType,CurrentIssues,FollowUpNeeded
SVC001,Property team,N/A,Manager email response + formal ARL CHRA/MHUD attachment,"Property team is a data owner / operational source, not a standalone service sector. Community / Social Housing includes Housing First and Youth Housing.","Confirm ownership chain between Property team, ARL, APT, Housing First, Youth Housing, Sustaining Tenancies; confirm who inputs, who reviews, who submits."
SVC002,ARL / Community-Social Housing,Medium,Formal CHRA / MHUD annual reporting template + manager email response,"ARL workbook contains multiple tenancy-exit-related figures; urgent / non-urgent repairs are not separately maintained; tenant satisfaction questions are approximate mappings; monthly dashboard feed has not been proven.","Confirm KPM scope, tenancy-exit definitions, RAG targets, and whether monthly dashboard-ready feed exists."
SVC003,Housing First,Low,Background fact sheet / questionnaire-style response not raw KPI data,"Current evidence is background-level only. Actual monthly reporting workflow, final KPI definitions, targets, source fields, and named service manager have not been confirmed.","Confirm funder / contract owner, KPIs, targets, source fields, reporting frequency, separate spreadsheets, relationship with Property team and ARL/APT reporting, and named service manager."
SVC004,Youth Housing,Low,Background fact sheet / questionnaire-style response not raw KPI data,"Current evidence is background-level only. Actual monthly reporting workflow, final KPI definitions, targets, source fields, and named service manager have not been confirmed.","Confirm funder / contract owner, KPIs, targets, source fields, reporting frequency, separate spreadsheets, relationship with Property team and ARL/APT reporting, and named service manager."
SVC005,Sustaining Tenancies,Low,Background fact sheet / questionnaire-style response not raw KPI data,"Current evidence is background-level only. Actual monthly reporting workflow, final KPI definitions, targets, source fields, and named service manager have not been confirmed.","Confirm funder / contract owner, KPIs, targets, source fields, reporting frequency, separate spreadsheets, relationship with Property team and ARL/APT reporting, and named service manager."
SVC006,Merge Café,Medium-Low,Service manager email response,"MHUD template not aligned with Recordbase; manual collation; ambiguity in KPI definitions; inconsistent data entry; loss of institutional knowledge; recent system changes and retraining required.","Confirm numerator / denominator for each KPI, Recordbase fields, Excel tracker structure, MHUD template, Auckland Council template, and whether separate dashboard modelling is required."
SVC007,Whānau Services,Low,Service response / questionnaire response,"Substantial data capture gaps. Future desired data fields appear to be future captures rather than confirmed current captured KPIs.","Confirm service managers, data format, reporting frequency, self-built sheets, current contract KPIs vs desired fields, and whether funding lines should be separate reporting units."
SVC008,ECE - Waimumu Road Preschool & Royal Road Preschool,Medium,ECE quality plan / current-practice response not raw monthly KPI dataset,"Multiple templates / versions of truth; Infocare exports are often manually copied; whānau engagement is more qualitative; actual tracker sample still needed.","Confirm obligation vs internal management KPIs, centre-level grain, Excel tracker structure, monthly history completeness, and final KPI definition owner."
SVC009,Addiction counselling,Unknown / Scope confirmation required,Project brief only,"Mentioned in project brief but not yet evidenced in collected current-state materials.","Confirm whether in dashboard scope, reporting owner, tracked KPIs, and existing data source or template."
SVC010,Social enterprise,Unknown / Scope confirmation required,Project brief only,"Project brief mentions social enterprise as a service area, but current-state materials do not include a service-specific response under this label.","Confirm whether Merge Café is the only social enterprise service in scope and whether additional social enterprise services should be added."
