ServiceID,ServiceName,EntityType,FunderContract,ReportingFrequency,ServiceManager,ReadinessLevel,DesignRole,IsServiceSector
SVC001,Property team,Internal team / data owner,N/A,"Monthly review, sometimes weekly; CHRA/MHUD annual reporting","Property team / Michael Chapman response; final ownership chain still unclear",N/A,Data owner / supporting source,No
SVC002,ARL / Community-Social Housing,Service sector / formal reporting dataset,CHRA regulatory reporting; MHUD / IRRS contractual reporting,"Annual external reporting; monthly/weekly operational review mentioned in property response; monthly dashboard feed TBD","Property team / Michael Chapman response; formal reporting owner TBD",Medium,Core prototype candidate,Yes
SVC003,Housing First,Service sector,"Possible funders include MSD / MHUD / Oranga Tamariki / Kāinga Ora, but sector-specific contract allocation is not yet confirmed.","Weekly or monthly depending reporting requirements (typical, not confirmed for actual reporting)","Reported as 1 per sector (typical), named manager not yet confirmed.",Low,Discovery required before dashboarding,Yes
SVC004,Youth Housing,Service sector,"Possible funders include MSD / MHUD / Oranga Tamariki / Kāinga Ora, but sector-specific contract allocation is not yet confirmed.","Weekly or monthly depending reporting requirements (typical, not confirmed for actual reporting)","Reported as 1 per sector (typical), named manager not yet confirmed.",Low,Discovery required before dashboarding,Yes
SVC005,Sustaining Tenancies,Service sector,"Possible funders include MSD / MHUD / Oranga Tamariki / Kāinga Ora, but sector-specific contract allocation is not yet confirmed.","Weekly or monthly depending reporting requirements (typical, not confirmed for actual reporting)","Reported as 1 per sector (typical), named manager not yet confirmed.",Low,Discovery required before dashboarding,Yes
SVC006,Merge Café,Service sector,MHUD; Auckland Council,Monthly for MHUD; annual for Auckland Council,"Paula Bold Wilson, Service Manager Merge",Medium-Low,Simple KPI demonstration,Yes
SVC007,Whānau Services,Service sector,"OT / Mana Whānau; MSD - Whānau Resilience; MoJ - Parenting through Separation",TBD (not specified in response),"Sher Gestro responded via Maraea Mokaraka; number of service managers and named service manager(s) not yet confirmed.",Low,Data capture gap priority,Yes
SVC008,ECE - Waimumu Road Preschool & Royal Road Preschool,Service sector,Ministry of Education,"Mostly monthly; training quarterly; routine regulatory checks monthly + annual review cycle","1 ECE Service Manager covers Waimumu Road Preschool and Royal Road Preschool; Centre Managers own some source records",Medium,Core prototype candidate,Yes
SVC009,Addiction counselling,Potential service sector,TBD,TBD,TBD,Unknown / Scope confirmation required,Scope confirmation required,No
SVC010,Social enterprise,Potential service / social enterprise,TBD,TBD,TBD,Unknown / Scope confirmation required,Scope confirmation required,No
