FollowUpID,RelatedServiceID,Category,QuestionTask,WhyItMatters,SuggestedOwner,Priority,Status,DueDate
FU001,SVC001,Structure clarification,"Clarify the relationship between the Property team, ARL, APT, Housing First, Youth Housing, and Sustaining Tenancies.","Avoid treating a data owner as a separate service sector.",Property / housing lead,High,Open,
FU002,SVC007,Structure clarification,"Confirm whether Whānau Services should be treated as one sector or split into OT / Mana Whānau, MSD / Whānau Resilience, and MoJ / Parenting through Separation.","Funding lines may have different KPIs, evidence, and reporting cycles.",Whānau Services manager,High,Open,
FU003,SVC006,Structure clarification,"Confirm whether Merge Café should be modelled as separate MHUD monthly and Auckland Council annual reporting streams.","Same KPIs are reported to both, but cadence/templates differ.",Paula Bold Wilson,High,Open,
FU004,SVC006,KPI definition clarification,"Confirm how the Merge Café KPIs immediate needs met, continued engagement, and connected to community services are calculated.","RAG status and data fields depend on exact numerator/denominator definitions.",Merge Café manager,High,Open,
FU005,SVC002,Definition clarification (ARL),"Confirm the definitions and relationship between KPM2 tenancy exits (107), KPM2 tenancy terminations (37), and KPM4 tenancy exits (94).","Without confirmed definitions, dashboard mapping cannot reuse these figures.",ARL reporting owner via Michael Chapman / property team,High,Open,
FU006,SVC008,KPI definition clarification,"Confirm which ECE KPIs are contract or licensing obligations and which are internal monitoring KPIs.","Dashboard should separate obligations from management indicators.",ECE Service Manager,Medium,Open,
FU007,SVC007,KPI definition clarification,"Confirm which Whānau Services measures are current contract KPIs and which are future desired data fields.","Prevents future-state wishlist fields from being treated as current-state evidence.",Whānau Services manager,High,Open,
FU008,,Data capture clarification,"Confirm whether monthly data already exists.","Determines if dashboard can be monthly or only annual/ad hoc.",Each service manager,High,Open,
FU009,,Data capture clarification,"Confirm where the data is currently stored.","Identifies whether extraction is from system, Excel, or narrative reports.",Each service manager,High,Open,
FU010,,Data capture clarification,"Confirm whether each metric is captured as a system field, Excel sheet, or manual narrative.","Determines automation potential and data-quality controls.",Each service manager,High,Open,
FU011,,Data capture clarification,"Confirm who enters the data, who reviews it, and who is accountable for the final number.","Ownership is required before sign-off and RAG interpretation.",Service manager + data owner,High,Open,
FU012,,Data capture clarification,"Confirm whether historical data can be backfilled.","Determines trend baseline and launch readiness.",Service manager + analyst,Medium,Open,
FU013,"SVC003;SVC004;SVC005",Evidence request,"Request a formal KPI report, contract schedule, or real monthly sheet for Housing First, Youth Housing, and Sustaining Tenancies.","Email attachment provides useful manager-level evidence but not raw recurring KPI data.",Housing services lead,High,Open,
FU014,SVC006,Evidence request,"Request Merge Café Recordbase fields, Excel tracking sheet, and MHUD / Auckland Council templates.","Needed to map Paula's response into a durable reporting model.",Paula Bold Wilson,High,Open,
FU015,SVC008,Evidence request,"Request the ECE Excel KPI tracker sample and confirmation of whether the two centres are recorded separately or combined.","Needed to decide table grain and field design.",ECE Service Manager,Medium,Open,
FU016,SVC009,Scope confirmation,"Confirm whether addiction counselling is in Ann-Marie's dashboard scope, and identify reporting owner, KPIs, and data source.","Project brief lists this service area, but no current-state evidence has been collected.",Ann-Marie Searchfield,High,Open,
FU017,SVC010,Scope confirmation,"Confirm whether Merge Café is the only social enterprise service in dashboard scope, or whether other social enterprise services exist.","Project brief mentions social enterprise as a service area; relationship to existing rows not confirmed.",Ann-Marie Searchfield,High,Open,
